,Team,Conf,Games,Wins,ADJOE,ADJDE,Power_Rating,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,Two_PO,Two_PD,Three_PO,Three_PD,ADJ_T,WAB,Postseason,Year,avg_conf_power_rating,win_perc,wab_perc
37,Arkansas,SEC,35,23,110.8,94.5,0.8611,51.9,48.4,21.8,21.2,37.6,31.9,37.9,35.6,52.3,47.4,34.1,33.5,68.6,0.5,R32,2008,0.7867333333333333,0.6571428571428571,0.014285714285714285
38,Florida,SEC,36,24,115.3,98.9,0.8542,55.3,50.0,18.6,19.8,35.6,30.0,31.2,29.1,55.7,49.5,36.3,34.0,66.5,-1.3,DIDNT_MAKE,2008,0.7867333333333333,0.6666666666666666,-0.036111111111111115
39,Baylor,B12,32,21,115.9,99.6,0.8509,51.9,48.3,17.2,19.4,32.0,32.9,35.9,39.5,49.6,46.5,37.3,35.1,71.7,1.5,R64,2008,0.8326000000000002,0.65625,0.046875
40,Oregon,P10,32,18,118.0,101.5,0.8497,55.8,50.3,18.4,16.4,32.0,31.0,36.7,34.3,53.8,50.4,39.2,33.4,68.0,0.8,R64,2008,0.81971,0.5625,0.025
41,Illinois,B10,35,16,106.0,91.3,0.8488,48.8,45.8,21.5,20.3,37.0,29.9,36.5,37.2,49.2,43.3,31.9,33.5,63.3,-4.0,DIDNT_MAKE,2008,0.7742181818181817,0.45714285714285713,-0.11428571428571428
42,Syracuse,BE,35,21,111.8,96.6,0.8436,52.7,49.2,21.8,20.0,39.0,32.6,42.0,29.5,53.3,46.8,34.1,35.4,71.9,-0.6,DIDNT_MAKE,2008,0.7853249999999998,0.6,-0.017142857142857144
43,UNLV,MWC,35,27,108.8,94.0,0.8434,48.6,46.3,16.2,21.6,29.1,32.3,33.3,32.4,47.8,47.0,33.2,30.1,66.2,2.2,R32,2008,0.6466333333333334,0.7714285714285715,0.06285714285714286
44,Saint Mary's,WCC,32,25,107.4,93.0,0.8392,52.4,44.8,18.9,20.9,35.5,31.4,39.0,30.7,51.6,44.1,35.8,31.3,68.4,1.2,R64,2008,0.4722,0.78125,0.0375
45,Villanova,BE,35,22,107.9,93.5,0.838,49.1,51.1,20.5,23.6,36.2,31.0,38.9,46.4,47.8,48.6,34.4,36.5,69.4,0.3,Sweet Sixteen,2008,0.7853249999999998,0.6285714285714286,0.008571428571428572
46,Oklahoma,B12,35,23,107.4,93.3,0.8352,50.1,47.0,19.7,20.2,33.4,30.2,38.7,30.3,49.0,46.0,34.8,32.6,65.1,2.8,R32,2008,0.8326000000000002,0.6571428571428571,0.08
